college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
sushma godawari college,itahari sunsari,national examinations board,bsc computer science and information technology bsc csit bachelor of business studies bbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement diploma in civil engineering diploma in computer engineering,private institution,,,24,3,419
crimson college of technology,devinagar butwal rupandehi,pokhara university,bachelor of business administration bba bachelor of computer information systems bcis bachelor of computer application bca bachelor of pharmacy b pharm bsc medical laboratory technology bscmlt,private institution,,,28,3,276
birat kshitiz college,dsp road biratnagar3 biratnagar morang,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,247
birat multiple college,biratnagar morang,tribhuvan university,bsc computer science and information technology bsc csit bachelor of food technology btech food bsc microbiology,private institution,,,34,3,168
lahan everest college,lahan siraha,tribhuvan university,bachelor of commerce studies bcs master of business studies mbs,private institution,,,34,3,547
active academy college,basundhara kathmandu,national examinations board,ten plus two 2 science 2 science ten plus two 2 humanities 2 humanities ten plus two 2 law 2 law ten plus two 2 management 2 mangement bachelor of business studies bbs bachelor of arts ba bachelor of arts in social work basw bachelor of education bed master of business studies mbs ma in sociology ma in anthropology ma anthropology ma in political science ma political science,private institution,,,24,3,94
lake city college and research centre,gairapatan pokhara pokhara lekhnath kaski,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of arts in social work basw,private institution,,,34,3,341
city college of management,pasang lhamu marga nepalgunj banke,tribhuvan university,bachelor of business studies bbs master of business studies mbs,private institution,,,34,3,708
morgan engineering and management college,basundhara kathmandu,purbanchal university,bachelor of hotel management bhm bachelor of business administration bba bachelor of electrical engineering bachelor of civil engineering be civil,private institution,,,29,3,94
south asian school of tourism and hotel management,malaya road biratnagar morang,purbanchal university,bachelor of business administration bba bachelor of hotel management bhm,private institution,,,29,3,605
millennium model college,balmandir road bharatpur10 bharatpur chitwan,national examinations board,bachelor of business studies bbs bachelor of arts in social work basw ten plus two 2 management 2 mangement,private institution,,,24,3,57
sann institute of nursing,khusibu kathmandu,purbanchal university,bsc nursing,private institution,,,29,3,512
nepal homeopathic medical college,biratnagar morang,purbanchal university,bachelor of homeopathic medicine and surgery bhms,private institution,,,29,3,168
himalayan college of management,kamalpokhari kathmandu,infrastructure university kuala lumpur,bachelor of business administration hons bba bachelor of computer science hons  it bcs master of business administration mba master of information technology mit,private institution,,,41,3,470
kathmandu model hospital school of nursing,thulo bharyang kathmandu,purbanchal university,post basic bachelor in nursing bns bsc nursing,private institution,,,29,3,939
management development campus,bishalnagar kathmandu,purbanchal university,executive mba emba,private institution,,,29,3,187
manimukunda college,butwal13 butwal rupandehi,national examinations board,bachelor of business studies bbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 education 2 education,private institution,,,24,3,204
deepshikha college,ghorahi dang,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,366
diamond college,narayan gopal chowk kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs,private institution,,,34,3,661
bajra international college,arab bank bouddhajorpati road gokarneshwar kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba bachelor of computer application bca,private institution,,,34,3,18
bst college,gongabu tokha kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business studies bbs,private institution,,,24,3,378
mount valley college,bhimkalipatan bagar pokhara 1 pokhara kaski,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,148
edmark college,kalanki kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw master of business studies mbs bachelor of arts ba bachelor of computer application bca,private institution,,,34,3,460
pasang lhamu sherpa memorial college,samakhusi kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed,private institution,,,34,3,803
annapurna model college,butwal rupandehi,tribhuvan university,bachelor of arts ba bachelor of education bed ma in rural development mrd bachelor of arts in social work basw,private institution,,,34,3,200
birat health college and research centre,biratnagar morang,council for technical education and vocational training,certificate in diagnostic radiography certificate in medical laboratory technology cmlt bachelor of public health bph pcl in general medicinehealth assistant ha pcl nursing diploma in pharmacy,private institution,,,7,3,168
nepal institute of health sciences stupa college,jorpati gokarneshwar kathmandu,council for technical education and vocational training,bachelor of public health bph diploma in pharmacy certificate in medical laboratory technology cmlt pcl in general medicinehealth assistant ha,private institution,,,7,3,446
b and b medical institute,gwarko lalitpur,purbanchal university,post basic bachelor in nursing bns bsc nursing,private institution,,,29,3,391
mayadevi technical college,mayadevi chowk butwal rupandehi,council for technical education and vocational training,certificate in medical laboratory technology cmlt diploma in pharmacy pcl in general medicinehealth assistant ha,private institution,,,7,3,633
dav business school,jwalakhel lalitpur,purbanchal university,master of business administration mba,private institution,,,29,3,448
green peace lincoln college,itahari sunsari,lincoln university college,bachelor hons of business administration bba master of business administration mba,private institution,,,19,3,419
annapurna college,biratnagar morang,purbanchal university,master of education med bachelor of education bed,private institution,,,29,3,168
hamro school of nursing,biratnagar morang,purbanchal university,bsc nursing,private institution,,,29,3,168
shreenagar integrated college,holangdi tansen buddha bihar tansen palpa,national examinations board,bachelor of business administration bba ten plus two 2 science 2 science ten plus two 2 management 2 mangement,private institution,,,24,3,411
valley state college,bharatpur9 basanta chowk bharatpur chitwan,pokhara university,bachelor of business administration bba,private institution,,,28,3,136
trinity international college,dillibazar height kathmandu,national examinations board,gce alevel science alevel science gce alevel nonscience alevel nonscience ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities bachelor of business studies bbs bachelor of business management bbm bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of arts in social work basw,private institution,,,24,3,312
edenburgh international college,janpath tole biratnagar16 biratnagar morang,purbanchal university,bachelor of business administration bba bachelor of public health bph master of education med,private institution,,,29,3,433
unique college,damak13 damak jhapa,national examinations board,ten plus two 2 education 2 education ten plus two 2 management 2 mangement bachelor of business studies bbs,private institution,,,24,3,253
diyalo college,bharatpur2 keshtrapur bharatpur chitwan,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,135
koshi health and science campus,tinpainee biratnagar morang,council for technical education and vocational training,bachelor of public health bph pcl in general medicinehealth assistant ha diploma in pharmacy,private institution,,,7,3,950
gyan deep college,tulsipur dang,tribhuvan university,bachelor of business studies bbs bachelor of arts ba bachelor of computer application bca bachelor of science general bsc,private institution,,,34,3,957
kasturi college of management,itahari 8  bp chowk  itahari sunsari,tribhuvan university,bachelor of business studies bbs master of business studies mbs,private institution,,,34,3,420
lumbini engineeringmanagement and science college,tilottama09 bhalbari tilottama tillotama rupandehi,pokhara university,bachelor of electronics and communication engineering be bachelor of computer engineering be computer bachelor of civil engineering bachelor of computer application bca diploma in civil engineering diploma in electrical engineering diploma in computer engineering master of science in construction management bachelor of electrical and electronics engineering,private institution,,,28,3,946
nepathya college,butwal10sukkhanagar butwal tillotama rupandehi,tribhuvan university,bsc computer science and information technology bsc csit cap  i bachelor of computer application bca,private institution,,,34,3,202
mount annapurna campus,phoolbari pokhara pokhara lekhnath kaski,national examinations board,bsc computer science and information technology bsc csit ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business studies bbs,private institution,,,24,3,720
little angels college of management,hattiban lalitpur,kathmandu university,bachelor of business administration bba bachelor of business information system bbis bachelor in hospitality management bhm,private institution,,,17,3,402
asian college of management and technology,min bhawan new baneshwor kathmandu,purbanchal university,bachelor of business administration bba,private institution,,,29,3,645
ace institute of management,new baneshwor kathmandu,pokhara university,bachelor of business administration bba master of business administration mba bba in banking and insurance bbabi executive mba emba mbaevening mbaep,private institution,,,28,3,677
nasa international college,gairigaun tinkune kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw,private institution,,,34,3,342
international college,khairahani bharatpur khairahani chitwan,national examinations board,bachelor of business studies bbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement master of business studies mbs bachelor of information management bim bachelor of hotel management bhm,private institution,,,24,3,493
ambikeshwari campus,ghorahi11 ghorahi dang,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of information management bim,private institution,,,34,3,368
soch college of it,ranipauwa pokhara pokhara lekhnath kaski,tribhuvan university,bsc computer science and information technology bsc csit,private institution,,,34,3,779
indreni college,bharatpur11 bharatpur chitwan,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of information management bim,private institution,,,34,3,133
bheri nursing college,belaspur nepalgunj banke,council for technical education and vocational training,diploma in pharmacy,private institution,,,7,3,104
oxford college,butwal10 sukkhanagar butwal rupandehi,tribhuvan university,ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of hotel management bhm bachelor of information management bim bachelor of business studies bbs bachelor of education bed,private institution,,,34,3,201
gomendra multiple college,birtamode jhapa,purbanchal university,bachelor of computer application bca bachelor of business administration bba,private institution,,,29,3,182
deerwalk institute of technology,sifal kathmandu,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,856
aims college biratnagar,bhanu tole college road biratnagar14 biratnagar morang,tribhuvan university,bsc computer science and information technology bsc csit bachelor of business studies bbs bachelor of hotel management bhm,private institution,,,34,3,128
peoples dental college,balaju kathmandu,tribhuvan university,master in dental surgery mds bachelor of public health bph bachelor in medical laboratory technology bmlt bachelor of dental surgery bds,private institution,,,34,3,52
atlantic international college,galkopakha thamel kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi,private institution,,,28,3,344
balmiki lincoln college,birtamod jhapa,lincoln university college,bachelor hons of business administration bba master of business administration mba,private institution,,,19,3,180
national academy of science and technology dhangadi engineering college,uttar behadi dhangadi4 dhangadhi kailali,pokhara university,bachelor of business administration bba bachelor of computer engineering be computer bachelor of computer application bca bachelor of civil engineering,private institution,,,28,3,966
brixton college,buspark road mahendranagar bhimdatta kanchanpur,pokhara university,bachelor of business administration bba,private institution,,,28,3,198
nepal national education academy,balaju kathmandu,national examinations board,bsc microbiology ten plus two 2 science 2 science,private institution,,,24,3,52
nepalaya college,ganeshman singh path kalanki nagarjun kathmandu,national examinations board,bsc computer science and information technology bsc csit bachelor of business studies bbs bachelor of computer application bca bachelor of business management bbm master of business studies mbs,private institution,,,24,3,348
nepal tourism and hotel management college,chinedada pokhara pokhara lekhnath kaski,national examinations board,bachelor of business administration bba bba in banking and insurance bbabi bachelor of hotel management bhm ten plus two 2 management 2 mangement,private institution,,,24,3,237
boston international college,hakim chowk bharatpur chitwan,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi master of business administration mba bachelor of computer information systems bcis,private institution,,,28,3,398
nepal college of travel and tourism management,uttardhoka lazimpat kathmandu,tribhuvan university,master of travel and tourism management mttm bachelor in travel and tourism management bttm bachelor of hotel management bhm prediploma in culinary arts,private institution,,,34,3,968
southwestern state college,basundhara kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw bachelor of computer application bca bachelor of business management bbm bachelor of arts ba master of business studies mbs ma in english ma english,private institution,,,34,3,94
yeti health science academy,kantimarga maharajgunj kathmandu,council for technical education and vocational training,post basic bachelor in nursing bns bsc nursing bachelor of public health bph certificate in diagnostic radiography certificate in medical laboratory technology cmlt,private institution,,,7,3,476
supreme college,samakhusi chowk kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba,private institution,,,34,3,802
ace international business school,sinamangal kathmandu,cambridge gce a levels,gce alevel nonscience alevel nonscience bachelor of business administration bba master of business administration mba,private institution,,,6,3,864
asian school of management and technology,gongabu chowk kathmandu,tribhuvan university,bachelor of information management bim bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of business management bbm,private institution,,,34,3,377
zenith international college biratnagar,biratnagar morang,purbanchal university,bachelor of business administration bba master of business administration mba executive mba emba,private institution,,,29,3,168
nagarjuna college of information technology,sankhamul bridge lalitpur,tribhuvan university,bachelor of information management bim bsc computer science and information technology bsc csit bachelor of business studies bbs bachelor of business management bbm bachelor of computer application bca,private institution,,,34,3,812
medhavi college,shankhamul kathmandu,pokhara university,bachelor of business administration bba bachelor of hotel management bhm bachelor of computer information systems bcis,private institution,,,28,3,838
nepal kasthamandap college,kalanki near makalu petrol pump kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities bachelor of business administration bba bachelor of business studies bbs bachelor of computer application bca master of business studies mbs ten plus two 2 education 2 education ten plus two 2 law 2 law,private institution,,,24,3,459
kshitiz campus college of management and technology,dhobighat lalitpur,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,298
lumbini vision college,banganga4 kapilvastu banganga kapilvastu,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,74
lumbini ict campus,gaindakot nawalpur,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of information management bim bachelor of hotel management bhm master of business studies mbs,private institution,,,34,3,337
merryland college,rangeli road biratnagar morang,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,775
hetauda city college,kantirajpath4 kantirajpath hetauda makwanpur,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,477
lumbini city college,tillotama rupandehi,tribhuvan university,bsc computer science and information technology bsc csit bachelor of information management bim bachelor of computer application bca,private institution,,,34,3,945
metropolis college,tinpaini biratnagar morang,tribhuvan university,bachelor of business studies bbs bachelor of arts ba,private institution,,,34,3,951
kantipur college of medical science,sitapaila kathmandu,tribhuvan university,bsc microbiology certificate in medical laboratory technology cmlt pcl in general medicinehealth assistant ha diploma in pharmacy,private institution,,,34,3,873
college of engineering and management,shitalnagar nepalgunj banke,pokhara university,bachelor of civil engineering bachelor of engineering in information technology be it,private institution,,,28,3,846
eastern college of engineering,biratnagar tinpaini chowk biratnagar morang,purbanchal university,bachelor in electronics communication and automation engineering bachelor of civil engineering be civil bachelor of computer engineering msc in engineering management,private institution,,,29,3,169
nepal polytechnic institute,bharatpur chitwan,council for technical education and vocational training,diploma in civil engineering certificate in medical laboratory technology cmlt diploma in agriculture plant science diploma in computer engineering diploma in electrical and electronics engineering diploma in electrical engineering bachelor of civil engineering be civil bachelor of electrical engineering bachelor of veterinary science and animal husbandry bvscah bsc hons in agriculture prediploma in survey engineering amin prediploma in veterinary science diploma in agriculture animal science bsc nursing prediploma in livestock production  animal health pcl in general medicinehealth assistant ha prediploma in agriculture plant science,private institution,,,7,3,129
rapti engineering college,ghorahi ghorahi dang,pokhara university,bachelor of civil engineering bachelor of computer application bca diploma in computer engineering bachelor of electronics and communication engineering be prediploma in civil engineering civil suboverseer civil suboverseer prediploma in electrical engineering electrical suboverseer prediploma in survey engineering amin,private institution,,,28,3,367
axis college,janakinagar tillotama rupandehi,pokhara university,bba in banking and insurance bbabi bachelor of hotel management bhm bachelor of business administration bba,private institution,,,28,3,427
united technical college,bharatpur chitwan,pokhara university,bachelor of electrical and electronics engineering bachelor of civil engineering bachelor of computer engineering be computer master of science in construction management,private institution,,,28,3,129
alpine management college,surkhet road nepalgunj banke,pokhara university,bachelor of business administration bba bachelor of hotel management bhm,private institution,,,28,3,898
devaki college of management and science,mirchaiya mirchaiya siraha,purbanchal university,bachelor of business administration bba,private institution,,,29,3,648
butwal model college,padsari8 kataiya padsari omsatiya rupandehi,pokhara university,master in population gender and development mpgd bachelor of business administration bba bachelor of hotel management bhm,private institution,,,28,3,692
dharan college of management,bhupi marg dharan  4 dharan sunsari,purbanchal university,bachelor of business administration bba,private institution,,,29,3,160
oasis medical college,bharatpur chitwan,purbanchal university,bachelor of public health bph,private institution,,,29,3,129
kshitiz international college,butwal 12 kalikanagar butwal rupandehi,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi,private institution,,,28,3,199
kasturi college,itahari5 itahari sunsari,purbanchal university,bachelor of business administration bba bachelor of commerce studies bcs,private institution,,,29,3,422
nepal western management and engineering college,santoshi tole santoshi dhangadhi kailali,pokhara university,bba in banking and insurance bbabi bachelor of hotel management bhm,private institution,,,28,3,819
pokhara college of management,gyanmarg nadipur pokhara pokhara lekhnath kaski,pokhara university,bachelor of business administration bba bachelor of computer information systems bcis,private institution,,,28,3,397
nova international college,minbhawan kathmandu,delta international university,bachelor of business administration bba master of business administration mba,private institution,,,9,3,647
pokhara lincoln international college,simalchaur8 pokhara kaski,lincoln university college,bachelor hons of business administration bba bsc hons in hospitality management bhm,private institution,,,19,3,975
saptarishi multiple college,rajbiraj saptari,purbanchal university,bachelor of business administration bba bachelor of public health bph,private institution,,,29,3,751
victoria international college,ghorahi dang,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi,private institution,,,28,3,366
bright vision college bvc biratnagar,biratnagar  06 samjhana chowk biratnagar morang,purbanchal university,bachelor of arts bachelor of laws ballb master of laws llm,private institution,,,29,3,166
national academy of applied science and technology naast college,dharan sunsari,national examinations board,diploma in fooddairy technology,private institution,,,24,3,291
himalaya darshan college,biratnagar morang,tribhuvan university,bsc computer science and information technology bsc csit bachelor of business studies bbs bachelor of computer application bca bachelor of information management bim bachelor of hotel management bhm,private institution,,,34,3,168
mission college,rajbiraj saptari,tribhuvan university,bachelor of business studies bbs bachelor of education bed ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement ten plus two 2 science 2 science,private institution,,,34,3,751
bagmati sscollege,new colony sukedhara kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 law 2 law,private institution,,,24,3,680
kamana international college,shoyambhu sanobharyang kathmandu,national examinations board,ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities bachelor of business studies bbs bachelor of arts in social work basw,private institution,,,24,3,849
kits college of science and management,teku kathmandu,tribhuvan university,bachelor of business studies bbs bsc environmental science,private institution,,,34,3,920
lalitpur valley college,jawalakhel lalitpur,tribhuvan university,bachelor of food technology btech food bsc microbiology bachelor of business studies bbs,private institution,,,34,3,436
sv academy college,buddhanagar kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement bachelor of arts ba bachelor of business studies bbs ma in rural development mrd,private institution,,,24,3,193
college of applied sciences,thapathali 11 kathmandu,tribhuvan university,bsc environmental science msc environmental science,private institution,,,34,3,933
kailpal academy for health science,surkhet road nepalgunj banke,tribhuvan university,certificate in diagnostic radiography bsc microbiology prediploma in social mobilization certificate in medical laboratory technology cmlt prediploma in computer engineering computer suboverseer pcl in general medicinehealth assistant ha,private institution,,,34,3,898
national college of technical sciences,banasthali chowk balaju kathmandu,tribhuvan university,bsc microbiology,private institution,,,34,3,60
national school of science education network,lainchour kathmandu,tribhuvan university,bsc in biochemistry,private institution,,,34,3,549
pinnacle college,lagankhel lalitpur,tribhuvan university,bsc microbiology bachelor of business studies bbs bachelor of business management bbm diploma in pharmacy,private institution,,,34,3,546
viswa niketan science campus,banasthali chowk balaju kathmandu,tribhuvan university,bsc environmental science,private institution,,,34,3,60
nams college,old baneshwor kathmandu,council for technical education and vocational training,bachelor of public health bph bsc nursing pcl in general medicinehealth assistant ha diploma in pharmacy,private institution,,,7,3,687
cist college,sangam chowk new baneshwor kathmandu,pokhara university,bachelor of pharmacy b pharm bachelor of public health bph m pharm in clinical pharmacy,private institution,,,28,3,810
cosmopolitan college,budhanilakantha kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement bachelor of arts ba bachelor of business studies bbs,private institution,,,24,3,195
sirius college,bafal kathmandu,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,35
richmond international college,kalanki kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba,private institution,,,34,3,460
dharan multiple campus,dharan sunsari,tribhuvan university,bachelor of food technology btech food,private institution,,,34,3,291
morgan international college,basundhara3 kathmandu,tribhuvan university,bachelor of information management bim bachelor of business studies bbs master of business studies mbs bachelor of computer application bca bachelor of business management bbm bachelor of business administration bba bachelor of hotel management bhm bachelor of arts in social work basw ten plus two 2 science 2 science ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement,private institution,,,34,3,96
bhanubhakta memorial college,panipokhari kathmandu,tribhuvan university,master of business studies mbs bachelor of business studies bbs,private institution,,,34,3,703
national law college,sanepa height lalitpur,tribhuvan university,bachelor of arts bachelor of laws ballb master of laws llm,private institution,,,34,3,807
om health campus,chabahil kathmandu,purbanchal university,bachelor of public health bph post basic bachelor in nursing bns bsc nursing,private institution,,,29,3,208
pokhara engineering college,phirke pokhara pokhara lekhnath kaski,pokhara university,bachelor of computer engineering be computer bachelor of civil engineering diploma in civil engineering diploma in electrical and electronics engineering diploma in computer engineering master of science in construction management bachelor of electronics and communication engineering be prediploma in civil engineering civil suboverseer civil suboverseer bachelor of architecture barch prediploma in electrical engineering electrical suboverseer,private institution,,,28,3,719
yeti multiple college,biratnagar morang,purbanchal university,bachelor of education bed bachelor of business studies bbs,private institution,,,29,3,168
nona koirala media college,biratnagar morang,purbanchal university,ba in journalism and mass communication bamcj,private institution,,,29,3,168
nagarik college of health sciences,koteshwor kathmandu,purbanchal university,bsc nursing post basic bachelor in nursing bns,private institution,,,29,3,529
krishna medical and technical research centre,janakpur dhanusha,purbanchal university,bsc nursing post basic bachelor in nursing bns,private institution,,,29,3,429
chaitanya institute of management,shankhamul new baneshwor kathmandu,the institute of chartered accountants of nepal,cap  i cap  ii,private institution,,,33,3,839
college of journalism and mass communication,kapan paiyutar budhanilakantha kathmandu,purbanchal university,ba in journalism and mass communication bamcj ma in mass communication and journalism mamcj master in development studies mds,private institution,,,29,3,479
damauli college of higher studies,damauli bazar damauli tanahun,national examinations board,bachelor of business studies bbs ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of education bed,private institution,,,24,3,255
bright vision college,satdobato tutepani lalitpur,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of arts in social work basw bachelor of arts in journalism and mass communication bajm,private institution,,,34,3,826
brihaspati college,goligadh9 bhairahawa siddharthanagar rupandehi,pokhara university,bachelor of business studies bbs bachelor of business administration bba,private institution,,,28,3,376
college for higher education,birtamode6 birtamod birtamode jhapa,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business studies bbs,private institution,,,24,3,184
manakamana college,birtamode1 yatayat office road birtamod birtamode jhapa,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed bachelor of arts in social work basw,private institution,,,34,3,183
kankai aadarsh campus,birtamode6 kankai tole birtamod birtamode jhapa,national examinations board,bachelor of business studies bbs bachelor of arts ba ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education master of business studies mbs,private institution,,,24,3,185
mount everest college,simara bara,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,860
bharabi science college,itahari sunsari,tribhuvan university,bachelor of science general bsc,private institution,,,34,3,419
crystal college chitwan,chitwan ratnanagar ratnanagar chitwan,national examinations board,bachelor of business studies bbs ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities,private institution,,,24,3,238
oxford college of engineering and management,gaindakot2 gaindakot nawalpur,pokhara university,bachelor of business administration bba bachelor of electrical and electronics engineering bachelor of civil engineering bachelor of computer application bca,private institution,,,28,3,340
dignity college,baglung bazar baglung,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,42
imperial business college,hattisar sadak kathmandu,pokhara university,bachelor of business administration bba bachelor of health care management bhcm,private institution,,,28,3,403
kantipur academy of health science,tinkune kathmandu,council for technical education and vocational training,certificate in medical laboratory technology cmlt certificate in diagnostic radiography post basic bachelor in nursing bns bsc nursing bachelor of pharmacy b pharm bachelor of public health bph,private institution,,,7,3,948
xavier international college,tushal bouddha gokarneshwar kathmandu,national examinations board,bsc microbiology bsc environmental science bachelor of computer application bca bachelor of business studies bbs bachelor of business management bbm bachelor of arts in social work basw master of business studies mbs,private institution,,,24,3,960
freeborn gyankunj college,banepa5 banepa kavrepalanchok,tribhuvan university,bachelor of business studies bbs master of business studies mbs,private institution,,,34,3,71
glorious college,kalikanagar butwal11 butwal rupandehi,national examinations board,bachelor of business studies bbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement,private institution,,,24,3,464
la grandee international college,simalchaur pokhara pokhara lekhnath kaski,pokhara university,bachelor of business administration bba bachelor of computer application bca bachelor of public health bph,private institution,,,28,3,859
gram prakash multiple campus,lekfant lekhphant jaljala parbat,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,565
valley college of technical sciences,sitapaila2 kathmandu,purbanchal university,bachelor of pharmacy b pharm bachelor of public health bph,private institution,,,29,3,874
gramsewa college,dharmasthali tarakeshwor tarakeshwor kathmandu,tribhuvan university,bachelor of education bed,private institution,,,34,3,294
nirvana college,kumaripati lalitpur,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,536
laligurans rastriya college,new baneshwor shankhamul kathmandu,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,678
kantipur dental college,basundhara kathmandu,council for technical education and vocational training,diploma in pharmacy certificate in dental science dental hygiene bachelor of dental surgery bds mds orthodontics mds oral pathology mds conservative dentistry and endodontics mds prosthodontics mds periodontics,private institution,,,7,3,94
new millennium college,dhumbarahi kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of arts ba bachelor of business studies bbs ma in english ma english,private institution,,,24,3,303
orchid international college,gaushala bijaya chowk kathmandu,tribhuvan university,bachelor of information management bim bsc computer science and information technology bsc csit bachelor of arts in social work basw bachelor of business management bbm bachelor of computer application bca bachelor of business studies bbs bachelor of arts in psychology bpsy bachelor of arts in major english ba major english bachelor of arts in rural development brd bachelor of arts in journalism and mass communication bajm bachelor of arts in gender studies,private institution,,,34,3,358
midwest academy and research institute college of life science,tulsipur dang,tribhuvan university,bsc agriculture,private institution,,,34,3,957
sanjeevani college of medical sciences sanjeevani nursing college,kalika nagar butwal rupandehi,council for technical education and vocational training,bachelor of public health bph,private institution,,,7,3,462
nepalgunj college,korenpur kasturi marg nepalgunj banke,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,,,34,3,526
caspian valley college,kumaripati lalitpur,tribhuvan university,bachelor of business studies bbs master of business studies mbs,private institution,,,34,3,536
himalayan multiple college,mechinagar3dhulabari mechinagar mechinagar jhapa,tribhuvan university,bachelor of arts ba bachelor of education bed bachelor of business studies bbs,private institution,,,34,3,634
kathmandu merryland college,tinkune kathmandu,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,948
manamohan memorial college,sorhakhutte kathmandu,tribhuvan university,master of education general med master of business studies mbs,private institution,,,34,3,880
new capital college,ratnanagar4 tandi ratnanagar ratnanagar chitwan,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,785
new horizon college,butwal rupandehi,tribhuvan university,bachelor of business studies bbs bachelor of science general bsc master of business studies mbs,private institution,,,34,3,200
janapremi college,madhyapur thimi15 kaushaltar madhyapur thimi bhaktapur,tribhuvan university,bachelor of business studies bbs bachelor of arts in social work basw,private institution,,,34,3,581
new light college,shankarnagar tillotama rupandehi,tribhuvan university,bachelor of education bed bachelor of arts ba,private institution,,,34,3,834
asian college for advance studies,satdobato lalitpur,council for technical education and vocational training,bachelor of pharmacy b pharm bachelor of public health bph post basic bachelor in nursing bns bsc nursing certificate in medical laboratory technology cmlt diploma in pharmacy certificate in diagnostic radiography,private institution,,,7,3,825
